Date,Country,Returns6M,BondYield,BondYieldDiff,BondYieldChg,BondYieldChgMedian,BondYieldDiffRank,BondYieldChgRank,BondYieldChgMedianRank
2011-06-30,colombia,-0.10524216633966432,7.61,-0.15999999999999925,-0.020592020592020477,-0.020592020592020498,8.0,10.0,9.0
2011-06-30,france,-0.2804962515945615,3.409,0.359,0.11770491803278693,0.07153531931852147,24.0,25.0,23.0
2011-06-30,germany,-0.282780532159448,3.025,0.44799999999999995,0.17384555684904934,0.09014084507042251,25.0,27.0,26.0
2011-06-30,hong kong,-0.14862961451218604,2.33,0.02499999999999991,0.010845986984815648,0.005731315910132946,12.5,15.0,14.0
2011-06-30,india,-0.31345200041528076,8.33,0.7839999999999998,0.10389610389610393,0.10300880304821966,31.0,23.0,27.0
2011-06-30,indonesia,-0.05964357224194439,7.549,-0.8299999999999992,-0.09905716672633957,-0.07484220018034257,2.0,3.0,4.0
2011-06-30,ireland,-0.029825594666420208,11.695,6.195,1.1263636363636365,1.1846256812314755,35.0,35.0,35.0
2011-06-30,israel,-0.22053253232734205,5.295,,,,,,
2011-06-30,italy,-0.30678528211652867,4.882,0.7879999999999994,0.19247679531021,0.15904733070945595,32.0,31.0,32.0
2011-06-30,japan,-0.10051781259653714,1.1400000000000001,0.049000000000000155,0.04491292392300661,0.02680525164113794,15.0,18.0,18.0
2011-06-30,malaysia,-0.07256159736445322,3.9290000000000003,-0.02799999999999958,-0.007076067728076674,-0.006682577565632359,11.0,11.0,11.0
2011-06-30,mexico,-0.12159142398982903,7.004,0.11499999999999932,0.01669327914065888,0.013956310679611568,18.0,16.0,16.0
2011-06-30,netherlands,-0.16727859139179246,3.343,0.5350000000000001,0.19052706552706566,0.10727892520553442,27.0,30.0,28.0
2011-06-30,new zealand,-0.08947062466556388,5.065,-0.2709999999999999,-0.05078710644677664,-0.04053851907255047,6.0,5.0,6.0
2011-06-30,peru,0.06623886838828374,6.76,0.5299999999999994,0.08507223113964679,0.08507223113964676,26.0,20.0,25.0
2011-06-30,philippines,-0.006178526190786293,6.77,-1.5180000000000007,-0.1831563706563707,-0.11787544649790345,1.0,1.0,2.0
2011-06-30,poland,-0.3708914026768826,5.781,-0.16000000000000014,-0.026931493014644037,-0.02598668182556442,7.0,7.0,7.0
2011-06-30,portugal,-0.29418185115305084,,,,,,,
2011-06-30,russia,-0.2670952473858619,6.003,1.0010000000000003,0.2001199520191923,0.15662650602409645,34.0,33.0,31.0
2011-06-30,singapore,-0.19047244816771636,2.31,-0.06000000000000005,-0.025316455696202556,-0.017699115044247805,10.0,8.0,10.0
2011-06-30,south africa,-0.10980466334431105,8.441,-0.4109999999999996,-0.046430185268865776,-0.041770415163372085,5.0,6.0,5.0
2011-06-30,south korea,-0.1872933451082034,4.29,-0.6600000000000001,-0.1333333333333333,-0.12244897959183677,3.0,2.0,1.0
2011-06-30,spain,-0.24048108814065972,5.446,0.8849999999999998,0.19403639552729657,0.17853540447851518,33.0,32.0,34.0
2011-06-30,sweden,-0.20180599865036186,2.9,0.23399999999999999,0.08777194298574642,0.0463458110516934,21.0,21.0,20.0
2011-06-30,switzerland,-0.14087050838186,1.732,0.25,0.1686909581646423,0.08074935400516796,22.0,26.0,24.0
2011-06-30,taiwan,-0.18667142523748748,1.5504,0.1382000000000001,0.09786149270641564,0.061340434975588144,19.0,22.0,21.0
2011-06-30,thailand,-0.04639684584040571,3.883,0.7370000000000001,0.23426573426573438,0.15522325189553499,30.0,34.0,30.0
2011-06-30,turkey,-0.28846059160185344,5.065,-0.5469999999999997,-0.09746970776906627,-0.08067251677604892,4.0,4.0,3.0
2011-06-30,united kingdom,-0.0770116392622675,3.38,0.02499999999999991,0.007451564828613977,0.004780114722753329,12.5,13.0,12.0
2011-06-30,denmark,-0.17900011632607082,,,,,,,
2011-06-30,finland,-0.2750144245751077,,,,,,,
2011-06-30,norway,-0.14186198272565975,,,,,,,
2011-12-31,australia,0.03422808670874744,3.668,-1.8769999999999998,-0.33850315599639313,-0.3035743166747533,2.0,10.0,6.0
2011-12-31,austria,-0.011821407300667275,2.904,-0.6030000000000002,-0.17194183062446544,-0.12644160201300067,17.0,13.0,17.0
2011-12-31,belgium,0.19340769087529597,4.09,0.1200000000000001,0.030226700251889227,0.025000000000000022,30.0,30.0,30.0
2011-12-31,brazil,-0.07691461945299294,12.607,0.43900000000000006,0.03607823800131493,0.035261044176706835,31.0,31.0,31.0
2011-12-31,canada,-0.018655607157619047,1.9409999999999998,-1.181,-0.3782831518257528,-0.21737529909810419,8.0,8.0,10.0
2011-12-31,chile,0.07171285167074415,5.2856,-1.0513000000000003,-0.1659013082106393,-0.1634725278142761,12.0,15.0,12.0
2011-12-31,china,0.03898648244233538,3.44,-0.4700000000000002,-0.12020460358056273,-0.13084632516703792,18.0,19.0,16.0
2011-12-31,colombia,0.1797249300117325,7.6,-0.08999999999999986,-0.011703511053316018,-0.01164294954721861,27.0,27.0,27.0
